Anjaw,Arunachal Pradesh,['Arunachal East']
Kra Daadi,Arunachal Pradesh,['Arunachal west']
Kurung Kumey,Arunachal Pradesh,['Arunachal west']
Longding,Arunachal Pradesh,['Arunachal East']
Lower Dibang Valley,Arunachal Pradesh,['Arunachal East']
Lower Siang,Arunachal Pradesh,"['Arunachal East', 'Arunachal west' ]"
Namsai,Arunachal Pradesh,['Arunachal East']
Papum Pare,Arunachal Pradesh,['Arunachal west']
Siang,Arunachal Pradesh,"['Arunachal East', 'Arunachal west' ]"
Upper Siang,Arunachal Pradesh,['Arunachal East']
Baksa,Assam,['Kokrajhar']
Biswanath,Assam,['Tezpur']
Charaideo,Assam,['Jorhat']
Chirang,Assam,['Kokrajhar']
Hojai,Assam,['Nowgong']
Majuli,Assam,['Lakhimpur']
South Salamara-Mankachar,Assam,['Dhubri']
West Karbi Anglong,Assam,['Autonomous District']
Balod,Chhattisgarh,['Kanker']
Baloda Bazar,Chhattisgarh,"['Janjgir-Champa', 'Raipur']"
Balrampur,Chhattisgarh,['Surguja']
Bemetara,Chhattisgarh,['Durg']
Bijapur,Chhattisgarh,['Bastar-Jagdalpur']
Gariaband,Chhattisgarh,['Mahasamund']
Kondagaon,Chhattisgarh,"['Kanker','Bastar-Jagdalpur']"
Mungeli,Chhattisgarh,['Bilaspur']
Narayanpur,Chhattisgarh,['Bastar-Jagdalpur']
Sukma,Chhattisgarh,['Bastar-Jagdalpur']
Surajpur,Chhattisgarh,['Surguja']
Shahdara,Delhi,['East Delhi']
South East Delhi,Delhi,['South Delhi']
Aravalli,Gujarat,['Sabarkantha']
Botad,Gujarat,['Bhavnagar']
Chhota Udaipur,Gujarat,['Chotta Udaipur']
Devbhoomi Dwarka,Gujarat,['Jamnagar']
Gir Somnath,Gujarat,['Junagadh']
Mahisagar,Gujarat,"['Panchmahal','Dahod']"
Morbi,Gujarat,['Rajkot']
Tapi,Gujarat,['Bardoli']
Charkhi Dadri,Haryana,['Bhiwani-Mahendragarh']
Mewat,Haryana,['Gurugram']
Palwal,Haryana,['Faridabad']
Jamtara,Jharkhand,['Dumka']
Khunti,Jharkhand,['Khunti']
Latehar,Jharkhand,['Chatra']
Ramgarh,Jharkhand,['Hazaribagh']
Seraikela Kharsawan,Jharkhand,"['Ranchi', 'Singhbhum', 'Khunti']"
Simdega,Jharkhand,['Khunti']
Chikkballapur,Karnataka,"['Kolar','Chikballapur']"
Ramanagara,Karnataka,['Bangalore Rural']
Yadgir,Karnataka,"['Yadgir', 'Gulbarga']"
Agar Malwa,Madhya Pradesh,['Dewas']
Alirajpur,Madhya Pradesh,['Ratlam']
Singrauli,Madhya Pradesh,['Sidhi']
Palghar,Maharashtra,['Palghar']
Jiribam,Manipur,['Outer Manipur']
Kakching,Manipur,['Outer Manipur']
Kamjong,Manipur,['Outer Manipur']
Kangpokpi,Manipur,['Outer Manipur']
Noney,Manipur,['Outer Manipur']
Pherzawl,Manipur,['Outer Manipur']
Tengnoupal,Manipur,['Outer Manipur']
East Jaintia Hills,Meghalaya,['Shillong']
North Garo Hills,Meghalaya,['Tura']
South West Garo Hills,Meghalaya,['Tura']
South West Khasi Hills,Meghalaya,['Shillong']
Dimapur,Nagaland,['Nagaland']
Kiphire,Nagaland,['Nagaland']
Longleng,Nagaland,['Nagaland']
Peren,Nagaland,['Nagaland']
Barnala,Punjab,['Sangrur']
Fazilka,Punjab,['Firozpur']
Pathankot,Punjab,['Gurdaspur']
Mohali,Punjab,"['Patiala', 'Anandpur Sahib']"
Tarn Taran,Punjab,['Khadoor Sahib']
Pratapgarh,Rajasthan,['Chittorgarh']
Bhadradri Kothagudem,Telangana,[]
Jagtial,Telangana,[]
Jangaon,Telangana,[]
Jayashankar,Telangana,[]
Jogulamba,Telangana,[]
Kamareddy,Telangana,[]
Komaram Bheem,Telangana,[]
Mahabubabad,Telangana,[]
Mancherial,Telangana,[]
Medchal,Telangana,[]
Nagarkurnool,Telangana,[]
Nirmal,Telangana,[]
Peddapalli,Telangana,[]
Rajanna Sircilla,Telangana,[]
Sangareddy,Telangana,[]
Siddipet,Telangana,[]
Suryapet,Telangana,[]
Vikarabad,Telangana,[]
Wanaparthy,Telangana,[]
Warangal Rural,Telangana,[]
Warangal Urban,Telangana,[]
Yadadri Bhuvanagiri,Telangana,[]
Gomati,Tripura,"['Tripura East', 'Tripura West']"
Khowai,Tripura,['Tripura East']
Sepahijala,Tripura,['Tripura West']
Unakoti,Tripura,['Tripura East']
Amethi,Uttar Pradesh,['Amethi']
Hapur,Uttar Pradesh,[]
Kanshiram Nagar,Uttar Pradesh,"['Etah', 'Farrukhabad']"
Sambhal,Uttar Pradesh,"['Sambhal','Budaun']"
Shamali,Uttar Pradesh,['Kairana']
Alipurduar,West Bengal,['Alipurduar']
Jhargram,West Bengal,['Jhargram']
Kalimpong,West Bengal,['Darjeeling']
Paschim Bardhaman,West Bengal,"['Asansol', 'Bardhaman-Durgapur']"
Purba Bardhaman,West Bengal,"['Bardhaman-Durgapur', 'Bardhaman Purba', 'Bishnupur', 'Bolpur']"
